date,close,signal,position,regime_label,regime_entropy,predicted_return,gross_return,transaction_cost,strategy_return,lgbm_naive_equity,gross_equity,equity
2022-11-08,18541.271484375,BUY,1,BEAR,0.000416,0.007444111936189,-0.08117773195926585,0.0,0.0,0.31269521652690274,0.6339672436836058,0.8880829210499077
2022-11-09,15880.7802734375,BUY,1,BEAR,0.0,0.001290664774997,0.034862741857687465,0.0,0.0,0.34460182623153035,0.656069080046377,0.8880829210499077
2022-11-10,17586.771484375,HOLD,0,BEAR,0.0,0.0062506691669759,-0.0,0.0,-0.0,0.33360266883003564,0.656069080046377,0.8880829210499077
2022-11-11,17034.29296875,HOLD,0,BEAR,0.0,0.0082959784084278,-0.0,0.0,-0.0,0.32896621231853657,0.656069080046377,0.8880829210499077
2022-11-12,16799.185546875,HOLD,0,BEAR,0.0,0.0064928782066022,-0.0,0.0,-0.0,0.32011810515587114,0.656069080046377,0.8880829210499077
2022-11-13,16353.365234375,HOLD,0,BEAR,0.0,0.0075085601016413,0.0,0.0,0.0,0.3252607168530675,0.656069080046377,0.8880829210499077
2022-11-14,16618.19921875,HOLD,0,BEAR,0.0,0.0093065391328748,0.0,0.0,0.0,0.3304337664599353,0.656069080046377,0.8880829210499077
2022-11-15,16884.61328125,HOLD,0,BEAR,0.0,0.0089170525163742,-0.0,0.0,-0.0,0.3261957285876211,0.656069080046377,0.8880829210499077
2022-11-16,16669.439453125,HOLD,0,RECOVERY,0.108615,0.0060237287982297,0.0,0.0,0.0,0.3265492984727701,0.656069080046377,0.8880829210499077
2022-11-17,16687.517578125,HOLD,0,SIDEWAYS,0.290203,0.0116778647602842,0.0,0.0,0.0,0.326750004764606,0.656069080046377,0.8880829210499077
2022-11-18,16697.77734375,HOLD,0,SIDEWAYS,0.012272,0.0111779684974415,0.0,0.0,0.0,0.3270193424277587,0.656069080046377,0.8880829210499077
2022-11-19,16711.546875,HOLD,0,SIDEWAYS,0.000816,0.0191158192667878,-0.0,0.0,-0.0,0.3187012685269047,0.656069080046377,0.8880829210499077
2022-11-20,16291.83203125,HOLD,0,SIDEWAYS,0.002085,-0.0010028451012918,-0.0,0.0,-0.0,0.3287273116800725,0.656069080046377,0.8880829210499077
2022-11-21,15787.2841796875,HOLD,0,SIDEWAYS,0.014656,0.0041473112059427,0.0,0.0,0.0,0.3370029280907615,0.656069080046377,0.8880829210499077
